,city,Lat,Lon,Wind Speed,Humidity,Temperature,Cloud Cover
0,mataura,-46.19,168.86,3.2,100,42.51,88
1,cape town,-33.93,18.42,8.05,38,89.6,0
2,nha trang,12.24,109.19,15.28,96,79.05,92
3,atambua,-9.11,124.89,5.88,100,77.34,0
4,trogir,43.52,16.25,12.75,73,69.8,40
5,ushuaia,-54.81,-68.31,20.8,76,48.2,75
6,georgetown,6.8,-58.16,11.41,62,89.6,75
7,east london,-33.02,27.91,18.34,73,71.6,20
8,salem,44.94,-123.03,4.7,93,55.4,90
9,cherskiy,68.75,161.3,1.97,59,-12.3,0
10,nanakuli,21.39,-158.15,6.93,94,78.8,90
11,grand-santi,4.27,-54.38,2.98,81,82.2,80
12,mosjoen,65.84,13.19,1.74,92,33.8,20
13,zheleznodorozhnyy,55.75,38,6.71,79,39.2,20
14,port hardy,50.7,-127.42,5.82,93,44.6,20
15,matara,-13.74,-72.9,2.24,81,44.6,90
16,dali,25.6,100.24,1.74,100,50.39,20
17,vaini,15.34,74.49,6.33,33,78.56,0
18,nome,30.04,-94.42,4.32,77,66.2,1
19,chokurdakh,70.62,147.9,2.98,85,7.37,88
20,atuona,-9.8,-139.03,16.4,99,80.49,36
21,hassleholm,56.16,13.77,9.17,80,39.2,12
22,muros,42.77,-9.06,11.41,76,48.2,40
23,bluff,-23.58,149.07,8.79,52,73.07,0
24,san lawrenz,36.06,14.2,14.99,60,73.4,20
25,coreau,-3.53,-40.66,10.36,42,93.54,0
26,sarankhola,22.31,89.79,7.11,72,81.26,80
27,hof,50.32,11.92,5.82,75,44.6,40
28,port lincoln,-34.72,135.86,6.89,98,57.77,88
29,vila velha,-3.71,-38.6,17.22,55,86,40
30,taolanaro,,,,,,
31,busselton,-33.64,115.35,16.84,100,61.46,0
32,hualmay,-11.1,-77.61,3.76,72,67.44,12
33,punta arenas,-53.16,-70.91,23.04,81,48.2,75
34,umzimvubu,,,,,,
35,barrow,-38.31,-60.23,10.25,77,70.59,20
36,rikitea,-23.12,-134.97,12.82,100,72.84,48
37,cabo san lucas,22.89,-109.91,5.82,72,66.2,5
38,carnarvon,-30.97,22.13,4.43,7,92.91,0
39,kirakira,-10.46,161.92,3.76,100,83.64,64
40,agadir,30.42,-9.58,5.82,53,77,40
41,nikolskoye,59.7,30.79,20.13,80,35.6,75
42,puerto ayora,-0.74,-90.35,13.87,69,75.2,40
43,tiksi,71.64,128.87,13.49,77,9.12,0
44,nerchinskiy zavod,51.31,119.61,11.81,55,24.92,76
45,faanui,-16.48,-151.75,8.46,100,77.16,92
46,ostrovnoy,68.05,39.51,12.15,84,29.46,88
47,cidreira,-30.17,-50.22,26.57,95,65.64,88
48,attawapiskat,,,,,,
49,hirara,24.8,125.28,27.25,100,74.55,0
50,vsevolodo-vilva,,,,,,
51,guerrero negro,27.97,-114.04,3.76,71,64.11,0
52,touho,-20.78,165.23,0.96,86,61.05,36
53,kapaa,22.08,-159.32,11.41,88,75.2,90
54,saskylakh,71.97,114.09,18.19,81,11.87,36
55,honningsvag,70.98,25.97,15.61,100,34.05,80
56,albany,42.65,-73.75,8.05,86,39.2,90
57,port elizabeth,39.31,-74.98,13.87,100,60.8,90
58,karpathos,35.51,27.21,4.7,52,69.8,0
59,almaznyy,48.03,40.04,6.22,88,41.84,0
60,port alfred,-33.59,26.89,14.72,79,72.57,56
61,olafsvik,,,,,,
62,bredasdorp,-34.53,20.04,19.46,60,75.2,20
63,karkaralinsk,,,,,,
64,mys shmidta,,,,,,
65,lebu,8.96,38.73,10.69,34,66.27,0
66,hobyo,5.35,48.53,3.76,81,80.85,12
67,hobart,-42.88,147.33,10.29,64,42.8,40
68,nioro,13.79,-15.05,6.55,70,91.79,20
69,avarua,-21.21,-159.78,5.82,88,73.4,90
70,isangel,-19.55,169.27,3.2,100,74.69,0
71,belaya gora,68.54,146.19,9.35,85,5.25,88
72,bucerias,20.76,-105.33,3.42,100,75.2,40
73,richards bay,-28.77,32.06,6.11,72,75.54,20
74,thompson,55.74,-97.86,4.7,92,30.2,90
75,kruisfontein,-34,24.73,17.74,75,70.68,0
76,castro,-42.48,-73.76,3.65,94,55.07,80
77,sitka,37.17,-99.65,5.44,50,53.67,0
78,geraldton,49.72,-86.95,8.05,86,33.8,90
79,bethel,60.79,-161.76,19.46,86,28.4,1
80,hasaki,35.73,140.83,6.93,87,60.8,20
81,constitucion,23.99,-104.67,4.43,93,50,5
82,kapoeta,,,,,,
83,kaniama,-7.57,24.18,3.98,44,86.61,56
84,petropavlovsk-kamchatskiy,53.05,158.65,6.71,93,35.6,75
85,kavieng,-2.57,150.8,3.87,100,81.17,44
86,havelock,34.88,-76.9,16.11,93,55.4,90
87,port-gentil,-0.72,8.78,11.41,70,86,75
88,joshimath,30.57,79.57,1.3,86,14.61,8
89,mar del plata,-46.43,-67.52,14.05,46,65.51,0
90,victoria,5.28,115.24,3.76,88,80.6,90
91,leningradskiy,69.38,178.42,3.98,100,15.96,0
92,hermanus,-34.42,19.24,3.42,28,93.09,0
93,safwah,,,,,,
94,huarmey,-10.07,-78.15,3.98,67,67.67,68
95,namie,37.52,140.86,11.81,100,57.99,0
96,lavrentiya,65.58,-170.99,27.25,100,29.51,0
97,mezen,65.85,44.24,7.9,76,31.49,48
98,mayor pablo lagerenza,-19.93,-60.77,11.7,92,76.89,92
99,saint-philippe,45.36,-73.48,6.93,44,41,40
100,lagunas,-5.23,-75.68,3.09,85,81.17,44
101,barmer,25.74,71.4,4.76,39,74.69,0
102,new norfolk,-42.78,147.06,10.29,76,42.8,40
103,bengkulu,,,,,,
104,tasiilaq,65.61,-37.64,49.44,100,30.2,92
105,weligama,5.97,80.42,6.22,100,78.24,80
106,bargal,,,,,,
107,tula,54.19,37.62,13.15,75,38.24,92
108,gimli,50.63,-96.99,6.67,100,40.8,92
109,chuy,-33.69,-53.46,18.75,92,66.32,24
110,lagoa,37.14,-8.45,18.34,37,69.8,0
111,mehamn,71.03,27.85,13.27,80,31.04,80
112,ribeira grande,38.52,-28.7,21.92,60,71.6,40
113,kochi,9.96,76.25,2.24,78,82.4,40
114,galveston,40.58,-86.19,10.29,100,46.4,90
115,caravelas,-17.73,-39.27,27.81,97,78.92,64
116,bathsheba,13.22,-59.52,12.75,70,84.2,40
117,cabinda,-5.56,12.19,11.41,70,86,40
118,koson,39.04,65.59,9.17,15,86,20
119,palmer,-34.85,139.16,5.82,67,57.2,75
120,butaritari,3.07,172.79,11.59,100,85.49,24
121,souillac,45.6,-0.6,11.41,50,51.8,0
122,iguatu,-6.36,-39.3,8.46,31,97.68,0
123,ribeira brava,32.65,-17.07,14.99,73,69.8,75
124,kenai,60.55,-151.26,5.82,93,37.4,90
125,kodiak,39.95,-94.76,3.36,100,44.6,1
126,xiongshi,,,,,,
127,yar-sale,66.83,70.83,31.83,95,32.97,88
128,berberati,4.26,15.79,3.76,88,83.64,0
129,bambous virieux,-20.34,57.76,6.93,64,75.2,40
130,te anau,-45.41,167.72,2.19,100,39.45,80
131,campbellsville,37.34,-85.34,5.82,100,46.4,90
132,palabuhanratu,,,,,,
133,tuatapere,-46.13,167.69,3.53,100,45.84,92
134,tuktoyaktuk,69.44,-133.03,8.05,92,26.6,90
135,dikson,73.51,80.55,35.75,100,24.02,92
136,esperance,10.24,-61.45,13.87,58,87.8,40
137,laguna,27.52,-110.01,2.3,82,64.4,5
138,lompoc,34.64,-120.46,5.82,87,57.2,1
139,pacific grove,36.62,-121.92,3.2,81,51.8,40
140,kabanjahe,3.1,98.49,1.86,100,66.81,36
141,rivadavia,-31.53,-68.59,2.42,53,73.79,36
142,samusu,,,,,,
143,tumannyy,,,,,,
144,arraial do cabo,-22.97,-42.02,9.17,74,86,40
145,koshurnikovo,54.3,93.39,4.76,70,26.76,0
146,shache,38.42,77.24,5.77,45,43.32,0
147,liverpool,53.41,-2.98,16.11,52,46.4,20
148,saleaula,,,,,,
149,yulara,-25.24,130.99,9.17,82,66.2,75
150,vaitupu,,,,,,
151,mogadishu,2.04,45.34,10.29,74,82.4,75
152,vardo,39.62,-77.74,10.29,93,48.2,90
153,zhenhai,29.95,121.71,4.47,71,53.6,0
154,arkhangelos,,,,,,
155,upernavik,72.79,-56.15,17.52,100,21.9,92
156,abu kamal,34.45,40.92,7.23,49,62.4,0
157,saint-paul,45.22,1.9,13.87,70,46.4,88
158,kaitangata,-46.28,169.85,2.64,99,45.57,80
159,shahpur,22.19,77.91,3.76,58,71.67,12
160,clyde river,70.47,-68.59,23.04,92,15.8,90
161,pevek,69.7,170.27,5.66,100,3.41,0
162,illoqqortoormiut,,,,,,
163,grand river south east,,,,,,
164,suez,29.97,32.54,6.22,41,72.84,0
165,prainha,-1.8,-53.48,3.65,58,91.61,8
166,dingle,11,122.67,8.12,86,76.94,24
167,kralendijk,12.15,-68.27,16.11,74,86,75
168,lakefield,44.42,-78.27,12.75,55,41,90
169,mahebourg,-20.41,57.7,6.93,64,75.2,40
170,bababe,,,,,,
171,ornskoldsvik,63.29,18.72,11.41,100,35.6,76
172,casablanca,33.6,-7.62,6.93,68,71.6,75
173,nalut,31.86,10.98,7.45,46,76.22,32
174,kaputa,-8.47,29.66,4.43,33,85.98,20
175,visegrad,43.78,19.3,12.75,52,64.4,20
176,zhuhai,40.71,112.04,8.95,38,42.8,0
177,qaanaaq,77.48,-69.36,10.02,100,-5.91,0
178,kumphawapi,17.11,103.01,8.05,74,80.6,0
179,maceio,-9.67,-35.74,16.11,46,89.6,0
180,dunedin,-45.87,170.5,2.42,100,44.49,92
181,tabulbah,,,,,,
182,ponta do sol,-20.63,-46,7.78,100,74.82,56
183,airai,-8.93,125.41,1.19,86,65.46,0
184,coihaique,-45.58,-72.07,5.82,67,57.2,75
185,cayenne,4.94,-52.33,6.93,66,87.8,75
186,namatanai,-3.66,152.44,6.89,100,80.54,36
187,labutta,,,,,,
188,chacaltianguis,18.3,-95.84,5.66,95,76.94,92
189,sokolo,14.74,-6.12,9.57,22,99.21,12
190,port blair,11.67,92.75,11.48,100,84.36,8
191,ancud,-41.87,-73.83,4.99,95,54.84,92
192,aldan,58.61,125.39,4.99,80,14.12,48
193,khatanga,71.98,102.47,18.75,85,22.62,92
194,hovd,63.83,10.7,3.36,74,33.8,20
195,kodinsk,58.6,99.18,6.11,69,35.99,0
196,jamestown,-33.21,138.6,2.75,68,56.55,92
197,klaksvik,62.23,-6.59,17.22,75,42.8,56
198,salalah,17.01,54.1,4.7,78,80.6,20
199,rawannawi,,,,,,
200,yei,,,,,,
201,tubruq,,,,,,
202,tazovskiy,67.47,78.7,23.67,93,34.14,68
203,san patricio,-26.98,-56.83,7.45,73,72.62,0
204,tadine,-21.55,167.88,5.55,100,73.11,0
205,mildura,-34.18,142.16,8.01,64,59.57,24
206,sao joao da barra,-21.64,-41.05,6.93,88,77,75
207,teguldet,57.31,88.17,7.45,63,40.22,0
208,hilo,19.71,-155.08,6.93,88,73.4,90
209,sentyabrskiy,,,,,,
210,colares,38.8,-9.45,27.51,44,62.6,20
211,cockburn town,21.46,-71.14,10.8,98,83.01,0
212,west bay,50.71,-2.76,20.8,70,42.8,40
213,marang,,,,,,
214,lasa,34.92,32.53,1.12,53,71.6,75
215,nemuro,43.32,145.57,17.85,93,57.18,20
216,mabaruma,8.2,-59.78,6.11,79,84.77,92
217,saint-joseph,43.56,6.97,1.12,93,62.6,90
218,bolshegrivskoye,,,,,,
219,provideniya,64.42,-173.23,14.05,100,25.37,0
220,karamea,,,,,,
221,marsa matruh,31.35,27.25,6.93,56,73.4,20
222,koumac,-20.56,164.28,3.2,95,67.04,0
223,saint anthony,43.97,-111.68,9.17,50,51.8,1
224,bolungarvik,,,,,,
225,kulzeb,,,,,,
226,yellowknife,62.45,-114.38,6.93,92,30.2,75
227,voi,-3.4,38.57,5.44,86,71.49,92
228,menongue,-14.66,17.68,5.99,24,86.25,48
229,buqayq,,,,,,
230,moron,10.49,-68.2,3.65,77,81.26,12
231,satitoa,,,,,,
232,boshnyakovo,49.65,142.17,14.5,94,48.41,88
233,hue,16.47,107.58,2.24,100,77,75
234,solton,52.84,86.48,7,71,33.47,0
235,tsihombe,,,,,,
236,hithadhoo,-0.6,73.08,14.61,100,81.93,88
237,khandyga,62.65,135.58,4.76,93,7.01,12
238,tazmalt,36.39,4.4,8.05,34,78.8,75
239,ramsar,36.92,50.64,4.7,72,60.8,90
240,skjervoy,70.03,20.97,8.05,74,33.8,75
241,talcahuano,-36.72,-73.12,4.7,87,60.8,75
242,bukama,-9.2,25.85,6.11,36,92.55,20
243,plettenberg bay,-34.05,23.37,17.18,87,67.53,0
244,sobolevo,54.43,31.9,17.74,96,42.78,92
245,otradnoye,59.77,30.8,20.13,80,35.6,75
246,ambovombe,-25.18,46.09,13.94,90,71.04,88
247,amarpur,23.52,91.65,2.42,93,74.01,92
248,taltal,-25.41,-70.49,2.98,77,68.84,0
249,grand gaube,-20.01,57.66,6.93,64,75.2,40
250,bundaberg,-24.87,152.35,11.7,100,74.55,0
251,camacari,-12.7,-38.32,21.92,70,86,40
252,kebumen,-7.67,109.65,9.24,100,76.31,92
253,torbay,47.66,-52.73,24.16,45,44.6,40
254,praia da vitoria,38.73,-27.07,21.77,68,66.2,75
255,fili,8.43,4.5,3.53,77,86.21,32
256,saldanha,41.42,-6.55,14.05,58,50.39,44
257,russell,-33.01,-68.8,5.82,60,69.8,40
258,comodoro rivadavia,-45.87,-67.48,19.46,40,68,20
259,damaturu,11.75,11.96,6.22,35,93,36
260,college,64.86,-147.8,2.98,100,30.2,90
261,alyangula,-13.85,136.42,9.8,100,81.03,0
262,barawe,,,,,,
263,toliary,,,,,,
264,launceston,-41.43,147.14,4.7,69,35.6,0
265,nanortalik,60.14,-45.24,15.28,90,37.29,76
266,kabinda,-6.14,24.49,7.45,54,88.01,12
267,naze,5.43,7.07,6.93,55,91.4,75
268,ongole,15.51,80.05,8.34,68,78.87,0
269,mossendjo,-2.95,12.72,2.98,64,87.02,12
270,kogon,39.73,64.54,13.87,27,82.4,90
271,xining,36.62,101.77,3.42,80,25.5,36
272,the valley,18.22,-63.06,6.93,74,86,40
273,suntar,62.16,117.65,2.64,83,18.89,48
274,namibe,-15.19,12.15,15.84,84,79.86,0
275,huntington beach,33.68,-118,4.32,100,62.6,90
276,meulaboh,4.14,96.13,0.74,100,76.67,56
277,kalmunai,7.42,81.82,5.66,100,73.11,92
278,barentsburg,,,,,,
279,port said,25.34,30.55,8.57,17,80.94,0
280,margate,-43.03,147.26,10.29,92,42.8,40
281,coquimbo,-29.95,-71.34,11.41,72,62.6,0
282,litoral del san juan,,,,,,
283,viligili,,,,,,
284,shelburne,44.08,-80.2,5.82,93,39.2,75
285,ambon,47.55,-2.56,9.17,66,50,75
286,tual,-5.67,132.75,8.68,100,82.2,88
287,oga,8.18,5.65,7,69,88.5,36
288,blonduos,,,,,,
289,luderitz,-26.65,15.16,6.93,35,84.2,0
290,tilichiki,60.47,166.1,5.21,96,36.93,92
291,krasnoyarskiy,51.97,59.9,10.13,66,40.49,88
292,san cristobal,-0.39,-78.55,13.87,72,59,40
293,beyneu,45.32,55.19,16.62,69,50.79,92
294,wajir,1.75,40.07,9.17,55,87.8,40
295,agdas,40.65,47.48,5.99,94,51.33,32
296,severodvinsk,64.56,39.82,6.71,100,32,40
297,inirida,3.87,-67.92,2.19,87,84.99,32
298,bhimavaram,16.54,81.53,8.01,62,77.61,0
299,castries,43.68,3.99,6.93,87,53.6,92
300,cap malheureux,-19.98,57.61,6.93,64,75.2,40
301,raudeberg,61.99,5.14,10.29,65,41,32
302,tombouctou,16.77,-3.01,8.68,18,94.17,0
303,yarada,17.65,83.27,16.84,100,83.87,0
304,mokhotlong,-29.29,29.06,2.53,25,68.61,24
305,rungata,,,,,,
306,najran,17.54,44.22,11.41,20,87.8,0
307,tateyama,36.66,137.31,2.08,100,40.44,32
308,amderma,,,,,,
309,valleyview,55.07,-117.28,17.18,78,37.79,88
310,port shepstone,-30.74,30.45,5.77,86,72.17,0
311,kununurra,-15.77,128.74,5.82,51,84.2,92
312,faya,18.39,42.45,5.82,77,69.8,40
313,sao sebastiao,-3.15,-58.36,4.99,49,94.35,0
314,fortuna,38.18,-1.13,2.24,49,73.4,20
315,belushya guba,,,,,,
